V0	Vf	V_sent	D	dt	triple_id
0.000408	1.975783	2.000000	240.679254	0.282666	104.000000
0.488516	1.985187	2.000000	275.238655	0.244997	105.000000
0.985744	1.973711	2.000000	271.070618	0.191668	106.000000
1.447171	1.981276	2.000000	259.280574	0.149004	107.000000
2.492044	2.009048	2.000000	289.857076	0.124665	108.000000
2.970355	1.999753	2.000000	431.149719	0.157668	109.000000
3.424508	2.014240	2.000000	541.571045	0.176330	110.000000
3.986891	2.017315	2.000000	641.768962	0.205667	111.000000
0.000124	2.476808	2.500000	379.493630	0.338329	112.000000
0.491828	2.477690	2.500000	398.188217	0.295667	113.000000
0.949622	2.473633	2.500000	398.453443	0.244664	114.000000
1.491999	2.482933	2.500000	400.520574	0.205998	115.000000
1.990424	2.464269	2.500000	311.510519	0.143337	116.000000
2.992916	2.502063	2.500000	365.993612	0.123668	117.000000
3.490077	2.510242	2.500000	486.146688	0.149331	118.000000
3.965572	2.498143	2.500000	625.491659	0.180667	119.000000
-0.000705	2.981174	3.000000	546.416796	0.388002	120.000000
0.490586	2.981234	3.000000	580.721625	0.352331	121.000000
0.991897	2.984073	3.000000	589.009196	0.304667	122.000000
1.491543	2.974624	3.000000	553.295385	0.255997	123.000000
1.985333	2.966374	3.000000	494.406484	0.205330	124.000000
2.491403	2.985248	3.000000	427.567678	0.156998	125.000000
3.489933	3.028247	3.000000	419.716878	0.114664	126.000000
3.987362	3.025472	3.000000	550.373902	0.142663	127.000000
0.000933	3.468747	3.500000	742.186305	0.455008	128.000000
0.489137	3.481534	3.500000	787.149076	0.413666	129.000000
0.976726	3.466481	3.500000	766.128698	0.358671	130.000000
1.486075	3.474646	3.500000	758.377040	0.318666	131.000000
1.991722	3.486595	3.500000	736.848145	0.272336	132.000000
2.481710	3.481230	3.500000	621.932861	0.215336	133.000000
2.970751	3.480380	3.500000	506.734111	0.156668	134.000000
3.992097	3.513968	3.500000	498.413045	0.123346	135.000000
-0.000383	3.983827	4.000000	1034.738813	0.516662	136.000000
0.491683	3.977547	4.000000	1042.581000	0.481335	137.000000
0.987769	3.976308	4.000000	1039.423317	0.427998	138.000000
1.489790	3.971072	4.000000	1000.019831	0.379332	139.000000
1.992465	3.980943	4.000000	971.292704	0.334329	140.000000
2.481965	3.971039	4.000000	872.181173	0.271335	141.000000
2.985010	3.977840	4.000000	762.650553	0.224671	142.000000
3.476698	3.987664	4.000000	609.373494	0.163337	143.000000
