V0	Vf	V_sent	D	dt	triple_id	sample_id
2.600000	1.240000	1.200000	2728.220000	0.003978	132.000000	0.000000
2.780000	1.240000	1.200000	3277.640000	0.005000	133.000000	0.000000
3.000000	1.240000	1.200000	3867.820000	0.005000	134.000000	0.000000
3.200000	1.240000	1.200000	4497.620000	0.006000	135.000000	0.000000
3.400000	1.240000	1.200000	5167.420000	0.007000	136.000000	0.000000
3.600000	1.240000	1.200000	5877.220000	0.008001	137.000000	0.000000
3.780000	1.240000	1.200000	6626.640000	0.008000	138.000000	0.000000
4.000000	1.240000	1.200000	7416.820000	0.009016	139.000000	0.000000
0.000000	1.360000	1.400000	912.560000	0.004000	140.000000	0.000000
0.160000	1.360000	1.400000	897.980000	0.004000	141.000000	0.000000
0.420000	1.360000	1.400000	851.760000	0.003000	142.000000	0.000000
0.600000	1.360000	1.400000	738.340000	0.003004	143.000000	0.000000
0.800000	1.360000	1.400000	600.140000	0.000990	144.000000	0.000000
1.000000	1.360000	1.400000	421.940000	0.001000	145.000000	0.000000
1.140000	1.360000	1.400000	250.200000	0.000997	146.000000	0.000000
1.600000	1.440000	1.400000	309.420000	0.001000	147.000000	0.000000
1.800000	1.440000	1.400000	659.220000	0.001000	148.000000	0.000000
1.900000	1.440000	1.400000	887.920000	0.002000	149.000000	0.000000
2.200000	1.440000	1.400000	1478.820000	0.003017	150.000000	0.000000
2.400000	1.440000	1.400000	1948.620000	0.002991	151.000000	0.000000
2.600000	1.440000	1.400000	2458.420000	0.004000	152.000000	0.000000
2.780000	1.440000	1.400000	3007.840000	0.005000	153.000000	0.000000
3.000000	1.440000	1.400000	3598.020000	0.006002	154.000000	0.000000
3.200000	1.440000	1.400000	4227.820000	0.006000	155.000000	0.000000
3.400000	1.440000	1.400000	4897.620000	0.006994	156.000000	0.000000
3.600000	1.440000	1.400000	5607.420000	0.007022	157.000000	0.000000
3.780000	1.440000	1.400000	6356.840000	0.007975	158.000000	0.000000
4.000000	1.440000	1.400000	7147.020000	0.009000	159.000000	0.000000
0.000000	1.560000	1.600000	1202.760000	0.006000	160.000000	0.000000
0.160000	1.560000	1.600000	1188.180000	0.005000	161.000000	0.000000
0.420000	1.560000	1.600000	1141.960000	0.004000	162.000000	0.000000
0.600000	1.560000	1.600000	1028.540000	0.004018	163.000000	0.000000
0.800000	1.560000	1.600000	890.340000	0.002008	164.000000	0.000000
1.000000	1.560000	1.600000	712.140000	0.002000	165.000000	0.000000
1.140000	1.560000	1.600000	540.400000	0.002011	166.000000	0.000000
1.400000	1.560000	1.600000	235.740000	0.000998	167.000000	0.000000
1.800000	1.640000	1.600000	349.420000	0.001001	168.000000	0.000000
1.900000	1.640000	1.600000	578.120000	0.001000	169.000000	0.000000
2.200000	1.640000	1.600000	1169.020000	0.002000	170.000000	0.000000
2.400000	1.640000	1.600000	1638.820000	0.003002	171.000000	0.000000
2.600000	1.640000	1.600000	2148.620000	0.004000	172.000000	0.000000
2.780000	1.640000	1.600000	2698.040000	0.003991	173.000000	0.000000
3.000000	1.640000	1.600000	3288.220000	0.004997	174.000000	0.000000
3.200000	1.640000	1.600000	3918.020000	0.006000	175.000000	0.000000
3.400000	1.640000	1.600000	4587.820000	0.007014	176.000000	0.000000
3.600000	1.640000	1.600000	5297.620000	0.007025	177.000000	0.000000
3.780000	1.640000	1.600000	6047.040000	0.008000	178.000000	0.000000
4.000000	1.640000	1.600000	6837.220000	0.009002	179.000000	0.000000
0.000000	1.760000	1.800000	1532.960000	0.007000	180.000000	0.000000
0.160000	1.760000	1.800000	1518.380000	0.004998	181.000000	0.000000
