V0	Vf	V_sent	D	dt	triple_id	considered_samples
1.680000	1.760000	1.800000	129.600000	0.000000	188.000000	0.000000	1.000000
2.080000	1.840000	1.800000	76.800000	0.000500	189.000000	0.000000	1.000000
2.240000	1.840000	1.800000	203.600000	0.000000	190.000000	0.000000	1.000000
2.480000	1.840000	1.800000	296.800000	0.000000	191.000000	0.000000	1.000000
2.640000	1.840000	1.800000	447.600000	0.001004	192.000000	0.000000	1.000000
2.880000	1.840000	1.800000	556.800000	0.001009	193.000000	0.000000	1.000000
3.040000	1.840000	1.800000	731.600000	0.001000	194.000000	0.000000	1.000000
3.280000	1.840000	1.800000	856.800000	0.001494	195.000000	0.000000	1.000000
3.440000	1.840000	1.800000	1055.600000	0.001506	196.000000	0.000000	1.000000
3.680000	1.840000	1.800000	1196.800000	0.001003	197.000000	0.000000	1.000000
3.840000	1.840000	1.800000	1419.600000	0.001501	198.000000	0.000000	1.000000
4.080000	1.840000	1.800000	1576.800000	0.001973	199.000000	0.000000	1.000000
0.000000	2.000000	2.000000	500.000000	0.002016	200.000000	0.000000	1.000000
0.240000	2.000000	2.000000	500.400000	0.001510	201.000000	0.000000	1.000000
0.480000	2.000000	2.000000	494.400000	0.002492	202.000000	0.000000	1.000000
0.640000	2.000000	2.000000	472.400000	0.000998	203.000000	0.000000	1.000000
0.880000	2.000000	2.000000	450.400000	0.001001	204.000000	0.000000	1.000000
1.040000	2.000000	2.000000	404.400000	0.001008	205.000000	0.000000	1.000000
1.200000	2.000000	2.000000	344.000000	0.001015	206.000000	0.000000	1.000000
1.440000	2.000000	2.000000	296.400000	0.000494	207.000000	0.000000	1.000000
1.680000	2.000000	2.000000	242.400000	0.000000	208.000000	0.000000	1.000000
1.840000	2.000000	2.000000	148.400000	0.000000	209.000000	0.000000	1.000000
2.240000	2.000000	2.000000	126.800000	0.000000	210.000000	0.000000	1.000000
2.480000	2.000000	2.000000	220.000000	0.000486	211.000000	0.000000	1.000000
2.640000	2.000000	2.000000	370.800000	0.001004	212.000000	0.000000	1.000000
2.880000	2.000000	2.000000	480.000000	0.000000	213.000000	0.000000	1.000000
3.040000	2.000000	2.000000	654.800000	0.001016	214.000000	0.000000	1.000000
3.280000	2.000000	2.000000	780.000000	0.000996	215.000000	0.000000	1.000000
3.440000	2.000000	2.000000	978.800000	0.001488	216.000000	0.000000	1.000000
3.680000	2.000000	2.000000	1120.000000	0.001502	217.000000	0.000000	1.000000
3.840000	2.000000	2.000000	1342.800000	0.002001	218.000000	0.000000	1.000000
4.080000	2.000000	2.000000	1500.000000	0.002007	219.000000	0.000000	1.000000
0.000000	2.160000	2.200000	583.200000	0.002508	220.000000	0.000000	1.000000
0.240000	2.160000	2.200000	583.600000	0.001998	221.000000	0.000000	1.000000
0.480000	2.160000	2.200000	577.600000	0.001499	222.000000	0.000000	1.000000
0.640000	2.160000	2.200000	555.600000	0.001499	223.000000	0.000000	1.000000
0.880000	2.160000	2.200000	533.600000	0.001500	224.000000	0.000000	1.000000
1.040000	2.160000	2.200000	487.600000	0.001513	225.000000	0.000000	1.000000
1.200000	2.160000	2.200000	427.200000	0.001487	226.000000	0.000000	1.000000
1.440000	2.160000	2.200000	379.600000	0.001000	227.000000	0.000000	1.000000
1.680000	2.160000	2.200000	325.600000	0.001001	228.000000	0.000000	1.000000
1.840000	2.160000	2.200000	231.600000	0.000518	229.000000	0.000000	1.000000
2.080000	2.160000	2.200000	161.600000	0.000504	230.000000	0.000000	1.000000
2.480000	2.240000	2.200000	92.800000	0.000501	231.000000	0.000000	1.000000
2.640000	2.240000	2.200000	243.600000	0.000000	232.000000	0.000000	1.000000
2.880000	2.240000	2.200000	352.800000	0.001004	233.000000	0.000000	1.000000
3.040000	2.240000	2.200000	527.600000	0.000499	234.000000	0.000000	1.000000
3.280000	2.240000	2.200000	652.800000	0.000999	235.000000	0.000000	1.000000
3.440000	2.240000	2.200000	851.600000	0.001504	236.000000	0.000000	1.000000
3.680000	2.240000	2.200000	992.800000	0.001017	237.000000	0.000000	1.000000
3.840000	2.240000	2.200000	1215.600000	0.001012	238.000000	0.000000	1.000000
4.080000	2.240000	2.200000	1372.800000	0.002000	239.000000	0.000000	1.000000
0.000000	2.400000	2.400000	720.000000	0.002488	240.000000	0.000000	1.000000
0.240000	2.400000	2.400000	720.400000	0.002479	241.000000	0.000000	1.000000
0.480000	2.400000	2.400000	714.400000	0.002486	242.000000	0.000000	1.000000
0.640000	2.400000	2.400000	692.400000	0.003002	243.000000	0.000000	1.000000
