V0	Vf	V_sent	D	dt	triple_id	sample_id
0.404216	1.353928	1.400000	190.359863	0.230000	72.000000	0.000000
0.590511	1.361677	1.400000	185.152344	0.200997	73.000000	0.000000
0.804579	1.368415	1.400000	172.842773	0.171000	74.000000	0.000000
0.906369	1.374509	1.400000	153.481445	0.129004	75.000000	0.000000
1.188375	1.386935	1.400000	150.291992	0.113000	76.000000	0.000000
1.582908	1.395748	1.400000	176.294922	0.101997	77.000000	0.000000
1.801663	1.421793	1.400000	219.646484	0.131001	78.000000	0.000000
1.919039	1.395558	1.400000	283.093750	0.172000	79.000000	0.000000
0.000000	1.587844	1.600000	255.222168	0.345574	80.000000	0.000000
0.203639	1.594260	1.600000	266.264648	0.319001	81.000000	0.000000
0.404216	1.597615	1.600000	268.576172	0.288001	82.000000	0.000000
0.579261	1.553919	1.600000	237.031738	0.242118	83.000000	0.000000
0.704532	1.561727	1.600000	225.219238	0.199001	84.000000	0.000000
1.001874	1.568421	1.600000	206.177246	0.157106	85.000000	0.000000
1.181065	1.574470	1.600000	180.094238	0.129002	86.000000	0.000000
1.381862	1.604118	1.600000	150.291504	0.100004	87.000000	0.000000
1.713745	1.612585	1.600000	199.674805	0.113999	88.000000	0.000000
1.984560	1.621799	1.600000	246.324463	0.129997	89.000000	0.000000
0.000000	1.804534	1.800000	347.179687	0.389523	90.000000	0.000000
0.194630	1.790531	1.800000	326.922852	0.355989	91.000000	0.000000
0.334285	1.794266	1.800000	329.651367	0.314000	92.000000	0.000000
0.604280	1.797591	1.800000	325.231934	0.285004	93.000000	0.000000
0.804564	1.753910	1.800000	283.687012	0.226002	94.000000	0.000000
0.906369	1.761718	1.800000	248.498535	0.185618	95.000000	0.000000
1.201836	1.768419	1.800000	219.508545	0.156998	96.000000	0.000000
1.404596	1.774469	1.800000	206.749756	0.130998	97.000000	0.000000
1.604616	1.778944	1.800000	166.910645	0.102001	98.000000	0.000000
2.001537	1.820266	1.800000	192.998291	0.100008	99.000000	0.000000
0.000000	1.976328	2.000000	380.626465	0.431523	100.000000	0.000000
0.203639	1.986069	2.000000	393.777344	0.384999	101.000000	0.000000
0.404216	1.990536	2.000000	390.254395	0.344001	102.000000	0.000000
0.527948	1.994264	2.000000	382.952393	0.314158	103.000000	0.000000
0.801869	1.997597	2.000000	368.565430	0.273010	104.000000	0.000000
1.004599	1.953923	2.000000	330.354980	0.232002	105.000000	0.000000
1.108088	1.961709	2.000000	285.165039	0.200998	106.000000	0.000000
1.381862	1.968418	2.000000	272.856689	0.156001	107.000000	0.000000
1.582908	1.974475	2.000000	233.427979	0.130005	108.000000	0.000000
1.785770	1.978950	2.000000	186.920654	0.084999	109.000000	0.000000
0.193590	0.020258	0.000000	13.000488	0.099085	0.000000	1.000000
0.329935	0.021811	0.000000	33.233398	0.126000	1.000000	1.000000
0.601350	0.024067	0.000000	59.776855	0.157000	2.000000	1.000000
0.804564	0.028227	0.000000	93.974121	0.201003	3.000000	1.000000
0.980166	0.034277	0.000000	118.426758	0.228386	4.000000	1.000000
1.204605	0.039257	0.000000	183.119629	0.271000	5.000000	1.000000
1.404596	0.045336	0.000000	238.158691	0.300000	6.000000	1.000000
1.601731	-0.003472	0.000000	300.490967	0.359001	7.000000	1.000000
1.804534	0.003574	0.000000	339.319580	0.373997	8.000000	1.000000
1.945401	0.006013	0.000000	445.914307	0.417106	9.000000	1.000000
0.000000	0.191583	0.200000	8.148437	0.113005	10.000000	1.000000
0.329935	0.220279	0.200000	26.336426	0.098997	11.000000	1.000000
0.604280	0.221788	0.200000	59.642578	0.145001	12.000000	1.000000
0.804579	0.224161	0.200000	93.128906	0.159000	13.000000	1.000000
1.004584	0.228218	0.200000	133.814941	0.198011	14.000000	1.000000
1.181065	0.234282	0.200000	181.716309	0.231003	15.000000	1.000000
1.384308	0.239175	0.200000	259.784424	0.273979	16.000000	1.000000
1.511571	0.245364	0.200000	271.513184	0.284998	17.000000	1.000000
1.804622	0.200921	0.200000	370.265869	0.354000	18.000000	1.000000
1.984560	0.203726	0.200000	446.001953	0.386000	19.000000	1.000000
0.000000	0.370876	0.400000	20.094238	0.127002	20.000000	1.000000
0.203639	0.378947	0.400000	23.573242	0.085003	21.000000	1.000000
0.604529	0.420270	0.400000	52.993164	0.100005	22.000000	1.000000
0.801869	0.421779	0.400000	86.310059	0.114109	23.000000	1.000000
0.980166	0.424152	0.400000	126.475586	0.169001	24.000000	1.000000
1.108088	0.417619	0.400000	160.444824	0.215999	25.000000	1.000000
1.309603	0.434325	0.400000	228.445557	0.228000	26.000000	1.000000
1.604616	0.439188	0.400000	289.778076	0.274002	27.000000	1.000000
1.713745	0.445333	0.400000	358.226562	0.314998	28.000000	1.000000
2.004489	0.400956	0.400000	440.292236	0.343000	29.000000	1.000000
0.001025	0.593933	0.600000	54.340820	0.200003	30.000000	1.000000
0.140871	0.574471	0.600000	46.783203	0.131001	31.000000	1.000000
0.391164	0.578953	0.600000	46.915527	0.101000	32.000000	1.000000
0.704532	0.620290	0.600000	73.062012	0.102993	33.000000	1.000000
1.004599	0.621784	0.600000	96.307617	0.129000	34.000000	1.000000
1.204605	0.624157	0.600000	159.796875	0.174562	35.000000	1.000000
