V0	Vf	V_sent
-2.800000	-1.400000	-1.400000	266.000000
-2.600000	-1.400000	-1.400000	267.000000
-2.400000	-1.400000	-1.400000	268.000000
-2.200000	-1.400000	-1.400000	269.000000
-2.000000	-1.400000	-1.400000	270.000000
-1.800000	-1.400000	-1.400000	271.000000
-1.600000	-1.400000	-1.400000	272.000000
-1.200000	-1.400000	-1.400000	273.000000
-1.000000	-1.400000	-1.400000	274.000000
-0.800000	-1.400000	-1.400000	275.000000
-0.600000	-1.400000	-1.400000	276.000000
-0.400000	-1.400000	-1.400000	277.000000
-0.200000	-1.400000	-1.400000	278.000000
0.000000	-1.400000	-1.400000	279.000000
-4.000000	-1.200000	-1.200000	280.000000
-3.800000	-1.200000	-1.200000	281.000000
-3.600000	-1.200000	-1.200000	282.000000
-3.400000	-1.200000	-1.200000	283.000000
-3.200000	-1.200000	-1.200000	284.000000
-3.000000	-1.200000	-1.200000	285.000000
-2.800000	-1.200000	-1.200000	286.000000
-2.600000	-1.200000	-1.200000	287.000000
-2.400000	-1.200000	-1.200000	288.000000
-2.200000	-1.200000	-1.200000	289.000000
-2.000000	-1.200000	-1.200000	290.000000
-1.800000	-1.200000	-1.200000	291.000000
-1.600000	-1.200000	-1.200000	292.000000
-1.400000	-1.200000	-1.200000	293.000000
-1.000000	-1.200000	-1.200000	294.000000
-0.800000	-1.200000	-1.200000	295.000000
-0.600000	-1.200000	-1.200000	296.000000
-0.400000	-1.200000	-1.200000	297.000000
-0.200000	-1.200000	-1.200000	298.000000
0.000000	-1.200000	-1.200000	299.000000
-4.000000	-1.000000	-1.000000	300.000000
-3.800000	-1.000000	-1.000000	301.000000
-3.600000	-1.000000	-1.000000	302.000000
-3.400000	-1.000000	-1.000000	303.000000
-3.200000	-1.000000	-1.000000	304.000000
-3.000000	-1.000000	-1.000000	305.000000
-2.800000	-1.000000	-1.000000	306.000000
-2.600000	-1.000000	-1.000000	307.000000
-2.400000	-1.000000	-1.000000	308.000000
-2.200000	-1.000000	-1.000000	309.000000
-2.000000	-1.000000	-1.000000	310.000000
-1.800000	-1.000000	-1.000000	311.000000
-1.600000	-1.000000	-1.000000	312.000000
-1.400000	-1.000000	-1.000000	313.000000
-1.200000	-1.000000	-1.000000	314.000000
-0.800000	-1.000000	-1.000000	315.000000
-0.600000	-1.000000	-1.000000	316.000000
-0.400000	-1.000000	-1.000000	317.000000
-0.200000	-1.000000	-1.000000	318.000000
0.000000	-1.000000	-1.000000	319.000000
-4.000000	-0.800000	-0.800000	320.000000
-3.800000	-0.800000	-0.800000	321.000000
-3.600000	-0.800000	-0.800000	322.000000
-3.400000	-0.800000	-0.800000	323.000000
-3.200000	-0.800000	-0.800000	324.000000
-3.000000	-0.800000	-0.800000	325.000000
-2.800000	-0.800000	-0.800000	326.000000
-2.600000	-0.800000	-0.800000	327.000000
-2.400000	-0.800000	-0.800000	328.000000
-2.200000	-0.800000	-0.800000	329.000000
-2.000000	-0.800000	-0.800000	330.000000
-1.800000	-0.800000	-0.800000	331.000000
-1.600000	-0.800000	-0.800000	332.000000
-1.400000	-0.800000	-0.800000	333.000000
-1.200000	-0.800000	-0.800000	334.000000
-1.000000	-0.800000	-0.800000	335.000000
-0.600000	-0.800000	-0.800000	336.000000
-0.400000	-0.800000	-0.800000	337.000000
-0.200000	-0.800000	-0.800000	338.000000
0.000000	-0.800000	-0.800000	339.000000
-4.000000	-0.600000	-0.600000	340.000000
-3.800000	-0.600000	-0.600000	341.000000
-3.600000	-0.600000	-0.600000	342.000000
-3.400000	-0.600000	-0.600000	343.000000
-3.200000	-0.600000	-0.600000	344.000000
-3.000000	-0.600000	-0.600000	345.000000
-2.800000	-0.600000	-0.600000	346.000000
-2.600000	-0.600000	-0.600000	347.000000
-2.400000	-0.600000	-0.600000	348.000000
-2.200000	-0.600000	-0.600000	349.000000
-2.000000	-0.600000	-0.600000	350.000000
-1.800000	-0.600000	-0.600000	351.000000
-1.600000	-0.600000	-0.600000	352.000000
-1.400000	-0.600000	-0.600000	353.000000
-1.200000	-0.600000	-0.600000	354.000000
-1.000000	-0.600000	-0.600000	355.000000
-0.800000	-0.600000	-0.600000	356.000000
-0.400000	-0.600000	-0.600000	357.000000
-0.200000	-0.600000	-0.600000	358.000000
0.000000	-0.600000	-0.600000	359.000000
-4.000000	-0.400000	-0.400000	360.000000
-3.800000	-0.400000	-0.400000	361.000000
-3.600000	-0.400000	-0.400000	362.000000
-3.400000	-0.400000	-0.400000	363.000000
-3.200000	-0.400000	-0.400000	364.000000
-3.000000	-0.400000	-0.400000	365.000000
-2.800000	-0.400000	-0.400000	366.000000
-2.600000	-0.400000	-0.400000	367.000000
-2.400000	-0.400000	-0.400000	368.000000
-2.200000	-0.400000	-0.400000	369.000000
-2.000000	-0.400000	-0.400000	370.000000
-1.800000	-0.400000	-0.400000	371.000000
-1.600000	-0.400000	-0.400000	372.000000
-1.400000	-0.400000	-0.400000	373.000000
-1.200000	-0.400000	-0.400000	374.000000
-1.000000	-0.400000	-0.400000	375.000000
-0.800000	-0.400000	-0.400000	376.000000
-0.600000	-0.400000	-0.400000	377.000000
-0.200000	-0.400000	-0.400000	378.000000
0.000000	-0.400000	-0.400000	379.000000
-4.000000	-0.200000	-0.200000	380.000000
-3.800000	-0.200000	-0.200000	381.000000
-3.600000	-0.200000	-0.200000	382.000000
-3.400000	-0.200000	-0.200000	383.000000
-3.200000	-0.200000	-0.200000	384.000000
-3.000000	-0.200000	-0.200000	385.000000
-2.800000	-0.200000	-0.200000	386.000000
-2.600000	-0.200000	-0.200000	387.000000
-2.400000	-0.200000	-0.200000	388.000000
-2.200000	-0.200000	-0.200000	389.000000
-2.000000	-0.200000	-0.200000	390.000000
-1.800000	-0.200000	-0.200000	391.000000
-1.600000	-0.200000	-0.200000	392.000000
-1.400000	-0.200000	-0.200000	393.000000
-1.200000	-0.200000	-0.200000	394.000000
-1.000000	-0.200000	-0.200000	395.000000
-0.800000	-0.200000	-0.200000	396.000000
-0.600000	-0.200000	-0.200000	397.000000
-0.400000	-0.200000	-0.200000	398.000000
0.000000	-0.200000	-0.200000	399.000000
-4.000000	0.000000	0.000000	400.000000
-3.800000	0.000000	0.000000	401.000000
-3.600000	0.000000	0.000000	402.000000
-3.400000	0.000000	0.000000	403.000000
-3.200000	0.000000	0.000000	404.000000
-3.000000	0.000000	0.000000	405.000000
-2.800000	0.000000	0.000000	406.000000
-2.600000	0.000000	0.000000	407.000000
-2.400000	0.000000	0.000000	408.000000
-2.200000	0.000000	0.000000	409.000000
-2.000000	0.000000	0.000000	410.000000
-1.800000	0.000000	0.000000	411.000000
-1.600000	0.000000	0.000000	412.000000
-1.400000	0.000000	0.000000	413.000000
-1.200000	0.000000	0.000000	414.000000
-1.000000	0.000000	0.000000	415.000000
-0.800000	0.000000	0.000000	416.000000
-0.600000	0.000000	0.000000	417.000000
-0.400000	0.000000	0.000000	418.000000
-0.200000	0.000000	0.000000	419.000000
0.200000	0.000000	0.000000	420.000000
0.400000	0.000000	0.000000	421.000000
0.600000	0.000000	0.000000	422.000000
0.800000	0.000000	0.000000	423.000000
1.000000	0.000000	0.000000	424.000000
1.200000	0.000000	0.000000	425.000000
1.400000	0.000000	0.000000	426.000000
1.600000	0.000000	0.000000	427.000000
1.800000	0.000000	0.000000	428.000000
2.000000	0.000000	0.000000	429.000000
2.200000	0.000000	0.000000	430.000000
2.400000	0.000000	0.000000	431.000000
2.600000	0.000000	0.000000	432.000000
2.800000	0.000000	0.000000	433.000000
3.000000	0.000000	0.000000	434.000000
3.200000	0.000000	0.000000	435.000000
3.400000	0.000000	0.000000	436.000000
3.600000	0.000000	0.000000	437.000000
3.800000	0.000000	0.000000	438.000000
4.000000	0.000000	0.000000	439.000000
0.000000	0.200000	0.200000	440.000000
0.400000	0.200000	0.200000	441.000000
0.600000	0.200000	0.200000	442.000000
0.800000	0.200000	0.200000	443.000000
1.000000	0.200000	0.200000	444.000000
1.200000	0.200000	0.200000	445.000000
1.400000	0.200000	0.200000	446.000000
1.600000	0.200000	0.200000	447.000000
1.800000	0.200000	0.200000	448.000000
2.000000	0.200000	0.200000	449.000000
2.200000	0.200000	0.200000	450.000000
2.400000	0.200000	0.200000	451.000000
2.600000	0.200000	0.200000	452.000000
2.800000	0.200000	0.200000	453.000000
3.000000	0.200000	0.200000	454.000000
3.200000	0.200000	0.200000	455.000000
3.400000	0.200000	0.200000	456.000000
3.600000	0.200000	0.200000	457.000000
3.800000	0.200000	0.200000	458.000000
4.000000	0.200000	0.200000	459.000000
0.000000	0.400000	0.400000	460.000000
0.200000	0.400000	0.400000	461.000000
0.600000	0.400000	0.400000	462.000000
0.800000	0.400000	0.400000	463.000000
1.000000	0.400000	0.400000	464.000000
1.200000	0.400000	0.400000	465.000000
1.400000	0.400000	0.400000	466.000000
1.600000	0.400000	0.400000	467.000000
1.800000	0.400000	0.400000	468.000000
2.000000	0.400000	0.400000	469.000000
2.200000	0.400000	0.400000	470.000000
2.400000	0.400000	0.400000	471.000000
2.600000	0.400000	0.400000	472.000000
2.800000	0.400000	0.400000	473.000000
3.000000	0.400000	0.400000	474.000000
3.200000	0.400000	0.400000	475.000000
