V0	Vf	V_sent	D	dt
0.024392	0.015543	0.000000	27.874672	0.018688	197.000000
0.000978	0.006864	0.000000	22.163109	0.013575	198.000000
0.000902	0.005570	0.000000	7.995705	0.018771	199.000000
0.001398	0.013461	0.000000	57.694405	0.013573	200.000000
0.022207	0.011635	0.000000	93.495524	0.020837	201.000000
0.000327	0.018616	0.000000	546.712572	0.037168	202.000000
0.000621	0.015981	0.000000	51.214133	0.019055	203.000000
0.021361	0.009979	0.000000	29.153226	0.008657	204.000000
0.000333	0.015507	0.000000	5.318338	0.010121	205.000000
0.006125	0.016268	0.000000	32.649498	0.020263	206.000000
0.032705	0.011838	0.000000	20.156759	0.008154	207.000000
0.005744	0.001250	0.000000	19.576002	0.018198	208.000000
0.006547	0.021248	0.000000	17.625552	0.013053	209.000000
0.005714	0.015748	0.000000	22.979913	0.009291	210.000000
0.033090	0.002451	0.000000	55.404429	0.016166	211.000000
0.040715	0.008815	0.000000	45.137656	0.017324	212.000000
0.003096	0.008565	0.000000	4.487944	0.010215	213.000000
0.003506	0.017271	0.000000	26.972238	0.019343	214.000000
0.001674	0.003887	0.000000	12.419650	0.008718	215.000000
0.032188	0.003174	0.000000	11.248437	0.015503	216.000000
0.000432	0.004679	0.000000	15.037353	0.015046	217.000000
0.033346	0.008827	0.000000	5.406355	0.007374	218.000000
0.002004	0.007488	0.000000	8.271511	0.017037	219.000000
0.001293	0.006979	0.000000	67.979680	0.022068	220.000000
0.014381	0.019493	0.000000	75.899595	0.014501	221.000000
0.006143	0.023492	0.000000	51.737420	0.019507	222.000000
0.039202	0.023037	0.000000	54.579843	0.021821	223.000000
0.025495	0.014332	0.000000	34.324004	0.008973	224.000000
0.023528	0.012326	0.000000	50.426214	0.008725	225.000000
0.013953	0.018718	0.000000	40.956840	0.013589	226.000000
0.000350	0.013833	0.000000	20.459835	0.012019	227.000000
0.000852	0.015785	0.000000	32.218594	0.008958	228.000000
0.012903	0.001300	0.000000	29.741199	0.014107	229.000000
0.030226	0.019193	0.000000	20.795137	0.009823	230.000000
0.000238	0.014378	0.000000	24.782522	0.015012	231.000000
0.034173	0.003604	0.000000	11.250036	0.014576	232.000000
0.002728	0.018454	0.000000	23.722660	0.016341	233.000000
0.000898	0.013351	0.000000	37.686747	0.021904	234.000000
0.040117	0.007866	0.000000	274.661042	0.165840	235.000000
0.045025	0.016497	0.000000	23.983357	0.016040	236.000000
0.026970	0.002652	0.000000	17.109159	0.015095	237.000000
0.000420	0.002676	0.000000	7.604031	0.010274	238.000000
0.000280	0.001448	0.000000	6.073568	0.007765	239.000000
0.013210	0.002354	0.000000	36.552677	0.007213	240.000000
0.000248	0.012998	0.000000	51.169326	0.015962	241.000000
0.009998	0.006738	0.000000	18.242572	0.009490	242.000000
0.013239	0.024059	0.000000	28.617239	0.016010	243.000000
0.006848	0.005293	0.000000	32.758103	0.016564	244.000000
0.000795	0.012122	0.000000	20.253844	0.009291	245.000000
0.006287	0.018667	0.000000	24.346355	0.017436	246.000000
0.010736	0.005997	0.000000	48.065333	0.023275	247.000000
0.000567	0.015179	0.000000	30.581755	0.014431	248.000000
0.023060	0.008117	0.000000	33.065733	0.022184	249.000000
0.000777	0.025569	0.000000	38.159821	0.023261	250.000000
0.009525	0.023907	0.000000	30.187686	0.015589	251.000000
0.000466	0.020430	0.000000	14.124169	0.008959	252.000000
0.048048	0.008994	0.000000	30.257764	0.021733	253.000000
0.044237	0.008024	0.000000	28.077575	0.016688	254.000000
0.041279	0.010673	0.000000	20.304230	0.023715	255.000000
0.036544	0.008843	0.000000	16.570279	0.015885	256.000000
0.042082	0.002093	0.000000	11.793799	0.011367	257.000000
0.000420	0.019162	0.000000	7.819207	0.008019	258.000000
0.000311	0.010069	0.000000	8.634301	0.011357	259.000000
0.026204	0.015090	0.000000	77.479354	0.019692	260.000000
0.032954	0.003638	0.000000	56.382023	0.010434	261.000000
0.041551	0.016226	0.000000	27.105218	0.007380	262.000000
0.050654	0.005481	0.000000	31.775758	0.018503	263.000000
0.031392	0.005733	0.000000	48.052221	0.015398	264.000000
0.000479	0.008520	0.000000	37.876505	0.015519	265.000000
0.037635	0.017342	0.000000	27.430315	0.012999	266.000000
0.000481	0.012762	0.000000	41.066480	0.015504	267.000000
0.028736	0.003347	0.000000	22.121341	0.013527	268.000000
0.004070	0.004184	0.000000	27.869139	0.017906	269.000000
0.001735	0.000983	0.000000	17.144862	0.008391	270.000000
0.002537	0.011012	0.000000	23.104556	0.019858	271.000000
0.033098	0.011991	0.000000	34.948381	0.021934	272.000000
0.000688	0.006943	0.000000	19.700821	0.020505	273.000000
0.002642	0.008647	0.000000	18.435706	0.013530	274.000000
0.031822	0.011241	0.000000	18.112813	0.010784	275.000000
0.048692	0.019885	0.000000	17.920480	0.021933	276.000000
0.037333	0.015343	0.000000	6.742882	0.008146	277.000000
0.039094	0.011310	0.000000	12.434702	0.015363	278.000000
0.001675	0.004829	0.000000	12.903962	0.016523	279.000000
0.030704	0.000563	0.000000	34.278740	0.022809	280.000000
0.000862	0.004994	0.000000	55.688698	0.009701	281.000000
0.018516	0.016875	0.000000	32.298069	0.008146	282.000000
0.017468	0.008882	0.000000	18.887792	0.017094	283.000000
0.048166	0.013981	0.000000	34.342100	0.016829	284.000000
0.000670	0.015003	0.000000	43.180470	0.011928	285.000000
0.002172	0.020878	0.000000	46.674324	0.023884	286.000000
0.021644	0.008749	0.000000	25.606343	0.018194	287.000000
0.034067	0.001954	0.000000	35.018405	0.017040	288.000000
0.000431	0.006143	0.000000	32.815053	0.015630	289.000000
0.036028	0.018232	0.000000	39.211501	0.015044	290.000000
0.014403	0.009905	0.000000	20.415012	0.007571	291.000000
0.001143	0.012163	0.000000	16.328526	0.009291	292.000000
0.004671	0.008135	0.000000	19.420074	0.015104	293.000000
0.003128	0.012190	0.000000	17.524079	0.007569	294.000000
0.030561	0.015552	0.000000	18.384096	0.015501	295.000000
0.035844	0.012497	0.000000	4.673490	0.007947	296.000000
0.001199	0.008609	0.000000	13.305275	0.014502	297.000000
0.031834	0.007905	0.000000	9.910162	0.009872	298.000000
0.000150	0.006117	0.000000	6.677195	0.008119	299.000000
0.016308	0.016109	0.000000	73.761201	0.015009	300.000000
0.020408	0.014160	0.000000	46.949148	0.018011	301.000000
0.000528	0.017842	0.000000	40.701428	0.015035	302.000000
0.016837	0.010112	0.000000	36.394429	0.001156	303.000000
0.030088	0.010077	0.000000	43.072171	0.015635	304.000000
0.018488	0.014768	0.000000	22.649142	0.009569	305.000000
0.000075	0.009412	0.000000	42.564213	0.018766	306.000000
0.001535	0.005524	0.000000	43.802823	0.008087	307.000000
0.002823	0.017359	0.000000	48.335008	0.025156	308.000000
0.036535	0.008093	0.000000	12.097809	0.017086	309.000000
0.030851	0.008207	0.000000	26.579925	0.008720	310.000000
0.000251	0.011056	0.000000	30.731364	0.015527	311.000000
0.001137	0.018587	0.000000	34.322866	0.017616	312.000000
0.002801	0.013781	0.000000	16.480001	0.015753	313.000000
0.034835	0.023540	0.000000	20.453453	0.014007	314.000000
0.003923	0.017536	0.000000	15.359847	0.015001	315.000000
0.000260	0.013526	0.000000	12.077855	0.008384	316.000000
0.027873	0.006979	0.000000	12.513117	0.015949	317.000000
0.040645	0.011735	0.000000	6.428400	0.015158	318.000000
0.000019	0.011950	0.000000	12.545385	0.024560	319.000000
0.040914	0.007778	0.000000	29.435493	0.007814	320.000000
0.022169	0.022500	0.000000	74.375280	0.020404	321.000000
0.010150	0.023636	0.000000	56.187748	0.021218	322.000000
0.042427	0.011656	0.000000	64.433837	0.019237	323.000000
0.011939	0.015077	0.000000	29.705657	0.025291	324.000000
0.035940	0.002868	0.000000	788.785097	0.079655	325.000000
0.044248	0.007993	0.000000	21.143670	0.007003	326.000000
0.020656	0.002131	0.000000	29.028798	0.022810	327.000000
0.003484	0.018252	0.000000	25.037552	0.020842	328.000000
0.006488	0.008621	0.000000	32.933381	0.014814	329.000000
0.001646	0.000513	0.000000	37.341875	0.014436	330.000000
0.046236	0.012585	0.000000	18.390236	0.012709	331.000000
0.052120	0.012773	0.000000	24.469435	0.008991	332.000000
0.009202	0.008227	0.000000	19.055432	0.015571	333.000000
0.001155	0.012055	0.000000	11.988904	0.017044	334.000000
0.007355	0.020567	0.000000	22.599934	0.015882	335.000000
0.020288	0.014601	0.000000	13.568795	0.017038	336.000000
0.002673	0.016751	0.000000	7.451345	0.021208	337.000000
0.001652	0.013681	0.000000	11.022342	0.017590	338.000000
0.000678	0.010709	0.000000	5.587361	0.021500	339.000000
0.017639	0.006533	0.000000	46.521060	0.021164	340.000000
0.001023	0.007083	0.000000	73.631343	0.023814	341.000000
0.042482	0.016643	0.000000	60.918631	0.026623	342.000000
0.041622	0.021422	0.000000	43.537007	0.009067	343.000000
0.006861	0.019837	0.000000	57.566090	0.009871	344.000000
0.009528	0.022427	0.000000	54.253231	0.017924	345.000000
0.004104	0.022891	0.000000	29.304986	0.008653	346.000000
0.030569	0.020689	0.000000	27.993151	0.016002	347.000000
0.000797	0.002083	0.000000	56.889833	0.009866	348.000000
0.021074	0.004424	0.000000	39.611771	0.017614	349.000000
0.001283	0.013660	0.000000	29.953163	0.016007	350.000000
0.020965	0.010156	0.000000	38.952751	0.029872	351.000000
0.043072	0.005467	0.000000	22.282330	0.008888	352.000000
0.001768	0.011242	0.000000	19.700166	0.023036	353.000000
0.025475	0.006285	0.000000	17.556343	0.020728	354.000000
0.043133	0.012072	0.000000	12.592931	0.013502	355.000000
0.004283	0.022039	0.000000	17.080628	0.021711	356.000000
0.000866	0.014481	0.000000	14.624629	0.015506	357.000000
0.000356	0.011085	0.000000	7.868682	0.022479	358.000000
0.000320	0.015826	0.000000	6.434203	0.014312	359.000000
0.000770	0.003232	0.000000	47.890826	0.009454	360.000000
0.023485	0.018663	0.000000	48.582812	0.008963	361.000000
0.033728	0.024119	0.000000	42.831597	0.008747	362.000000
0.019263	0.016469	0.000000	71.299669	0.025438	363.000000
