V0	Vf	V_sent	D	dt
-3.565541	-2.638214	-2.600000	510.646688	0.149713	142.000000
-3.380830	-2.604047	-2.600000	524.815572	0.162663	143.000000
-3.192062	-2.636093	-2.600000	408.833557	0.129004	144.000000
-2.955815	-2.623678	-2.600000	358.884623	0.125001	145.000000
-2.764563	-2.615517	-2.600000	355.340108	0.130003	146.000000
-2.392030	-2.582128	-2.600000	329.968984	0.129322	147.000000
-2.186821	-2.567720	-2.600000	335.138051	0.147662	148.000000
-1.985372	-2.583053	-2.600000	410.263112	0.173006	149.000000
-1.789446	-2.582522	-2.600000	420.809987	0.192001	150.000000
-1.588552	-2.578454	-2.600000	426.517334	0.214995	151.000000
-1.372280	-2.571669	-2.600000	421.761841	0.225330	152.000000
-1.188890	-2.585436	-2.600000	476.885223	0.258753	153.000000
-0.987398	-2.582560	-2.600000	451.215830	0.265666	154.000000
-0.781339	-2.583001	-2.600000	448.263741	0.290665	155.000000
-0.589648	-2.580835	-2.600000	457.916852	0.302330	156.000000
-0.386726	-2.580506	-2.600000	440.293427	0.318334	157.000000
-0.189212	-2.567692	-2.600000	420.975393	0.337840	158.000000
0.001608	-2.581700	-2.600000	439.508658	0.357999	159.000000
-3.992759	-2.420852	-2.400000	661.128459	0.197668	160.000000
-3.788460	-2.405000	-2.400000	584.619670	0.181996	161.000000
-3.566326	-2.411137	-2.400000	538.019755	0.163334	162.000000
-3.391849	-2.408333	-2.400000	513.878764	0.166333	163.000000
-3.139657	-2.409593	-2.400000	436.912029	0.153327	164.000000
-2.963067	-2.412525	-2.400000	432.634054	0.149813	165.000000
-2.761209	-2.426666	-2.400000	321.747050	0.123999	166.000000
-2.592699	-2.410437	-2.400000	291.152781	0.111383	167.000000
-2.162527	-2.386192	-2.400000	328.016357	0.138995	168.000000
-1.986076	-2.380648	-2.400000	309.726695	0.153000	169.000000
-1.791596	-2.369478	-2.400000	341.439041	0.161224	170.000000
-1.591634	-2.384785	-2.400000	363.535924	0.193669	171.000000
-1.355964	-2.365935	-2.400000	365.459796	0.199670	172.000000
-1.168380	-2.381679	-2.400000	391.582779	0.230333	173.000000
-0.991670	-2.388997	-2.400000	430.347773	0.258000	174.000000
-0.756232	-2.371104	-2.400000	384.008856	0.269900	175.000000
-0.566180	-2.372323	-2.400000	369.479129	0.281193	176.000000
-0.378339	-2.378781	-2.400000	372.806266	0.307004	177.000000
-0.170450	-2.376005	-2.400000	368.204632	0.313664	178.000000
0.000158	-2.374881	-2.400000	368.743917	0.339327	179.000000
-3.991286	-2.209677	-2.200000	655.993774	0.202331	180.000000
-3.792089	-2.221562	-2.200000	596.773112	0.184995	181.000000
-3.564377	-2.229013	-2.200000	562.994120	0.177945	182.000000
-3.374613	-2.222046	-2.200000	504.523905	0.168001	183.000000
-3.189123	-2.216273	-2.200000	439.290222	0.159335	184.000000
-2.955884	-2.207703	-2.200000	407.472961	0.153004	185.000000
-2.758162	-2.208339	-2.200000	376.516469	0.142667	186.000000
-2.566381	-2.200772	-2.200000	343.976939	0.134334	187.000000
-2.364983	-2.224426	-2.200000	268.942688	0.119334	188.000000
-1.962417	-2.183271	-2.200000	276.731506	0.133884	189.000000
-1.791166	-2.180134	-2.200000	303.433548	0.148331	190.000000
-1.591161	-2.166440	-2.200000	305.489141	0.172331	191.000000
-1.346660	-2.178458	-2.200000	327.604609	0.187997	192.000000
-1.191295	-2.174626	-2.200000	340.957204	0.214660	193.000000
-0.981195	-2.176533	-2.200000	343.054059	0.229332	194.000000
-0.789781	-2.161639	-2.200000	333.717354	0.245000	195.000000
-0.580121	-2.174998	-2.200000	322.063421	0.259729	196.000000
-0.377251	-2.173786	-2.200000	322.827864	0.282998	197.000000
-0.184891	-2.170082	-2.200000	305.248505	0.295337	198.000000
0.000099	-2.180070	-2.200000	292.544879	0.310335	199.000000
-3.991435	-2.013055	-2.000000	720.384196	0.215329	200.000000
-3.770564	-2.028051	-2.000000	635.524170	0.206331	201.000000
-3.592944	-2.014043	-2.000000	879.590047	0.204999	202.000000
-3.392645	-2.016166	-2.000000	504.196798	0.182000	203.000000
-3.175728	-2.023109	-2.000000	474.651062	0.168001	204.000000
-2.992714	-2.018985	-2.000000	442.402730	0.162336	205.000000
-2.787857	-2.010705	-2.000000	377.007914	0.148338	206.000000
-2.538167	-2.020033	-2.000000	335.763824	0.148102	207.000000
-2.387765	-1.995352	-2.000000	312.849793	0.137996	208.000000
-2.188765	-2.030213	-2.000000	234.671509	0.114666	209.000000
-1.788870	-1.968274	-2.000000	218.282262	0.120340	210.000000
-1.572538	-1.989156	-2.000000	274.739995	0.154332	211.000000
-1.342814	-1.978461	-2.000000	276.721387	0.166000	212.000000
-1.190715	-1.961856	-2.000000	258.452990	0.177336	213.000000
-0.990174	-1.975548	-2.000000	288.183510	0.206337	214.000000
-0.790719	-1.980843	-2.000000	278.785856	0.222000	215.000000
-0.569375	-1.983912	-2.000000	278.288611	0.244333	216.000000
-0.390617	-1.979480	-2.000000	260.858771	0.253665	217.000000
-0.168851	-1.979139	-2.000000	258.832510	0.277661	218.000000
-0.001263	-1.983276	-2.000000	251.827557	0.294333	219.000000
-3.992386	-1.813594	-1.800000	732.772583	0.228996	220.000000
-3.784201	-1.822819	-1.800000	658.769735	0.213665	221.000000
-3.584825	-1.816294	-1.800000	598.463643	0.211670	222.000000
-3.348975	-1.829732	-1.800000	541.148356	0.192340	223.000000
-3.176753	-1.819406	-1.800000	503.039368	0.180333	224.000000
-2.978989	-1.806779	-1.800000	485.837036	0.176530	225.000000
-2.783906	-1.822791	-1.800000	394.734538	0.156682	226.000000
