V0	Vf	V_sent	D	dt	triple_id	sample_id
3.192630	1.043285	1.000000	490.132752	0.217004	192.000000	0.000000
3.392937	1.046679	1.000000	555.582949	0.215000	193.000000	0.000000
3.592644	1.006842	1.000000	597.273017	0.242001	194.000000	0.000000
3.793007	1.047872	1.000000	639.731324	0.241783	195.000000	0.000000
3.990853	1.020983	1.000000	694.938235	0.256000	196.000000	0.000000
4.193012	1.005702	1.000000	756.616456	0.271606	197.000000	0.000000
4.392135	1.043304	1.000000	800.517824	0.271864	198.000000	0.000000
4.592132	1.004761	1.000000	845.934581	0.290593	199.000000	0.000000
4.780615	1.004157	1.000000	927.109378	0.299232	200.000000	0.000000
4.992534	0.994091	1.000000	953.603155	0.316433	201.000000	0.000000
5.148204	1.002309	1.000000	1100.077043	0.315997	202.000000	0.000000
5.365113	1.001560	1.000000	1109.779542	0.330604	203.000000	0.000000
5.592558	0.996887	1.000000	1183.192640	0.332360	204.000000	0.000000
5.729068	0.995895	1.000000	1277.655287	0.346786	205.000000	0.000000
5.949196	1.018106	1.000000	1359.929446	0.356866	206.000000	0.000000
6.190912	1.012084	1.000000	1371.108888	0.357244	207.000000	0.000000
6.392433	1.008813	1.000000	1469.304209	0.373189	208.000000	0.000000
6.590374	1.006636	1.000000	1477.421394	0.384007	209.000000	0.000000
6.791952	1.003880	1.000000	1580.703127	0.386000	210.000000	0.000000
6.993826	0.993880	1.000000	1703.859423	0.404002	211.000000	0.000000
0.003638	1.167552	1.200000	89.137886	0.187005	212.000000	0.000000
0.171759	1.182906	1.200000	96.261468	0.172989	213.000000	0.000000
0.392875	1.161070	1.200000	107.137262	0.158746	214.000000	0.000000
0.590559	1.170863	1.200000	118.317456	0.156995	215.000000	0.000000
0.708373	1.164651	1.200000	121.475354	0.127781	216.000000	0.000000
0.992562	1.176481	1.200000	125.713067	0.115999	217.000000	0.000000
1.392260	1.202725	1.200000	159.310394	0.117253	218.000000	0.000000
1.590688	1.241057	1.200000	180.085420	0.114993	219.000000	0.000000
1.790973	1.206994	1.200000	216.279953	0.129469	220.000000	0.000000
1.938323	1.202971	1.200000	255.789704	0.141998	221.000000	0.000000
2.171805	1.236357	1.200000	280.799836	0.146000	222.000000	0.000000
2.392621	1.206367	1.200000	318.500246	0.172262	223.000000	0.000000
2.590824	1.245786	1.200000	347.184968	0.173802	224.000000	0.000000
2.747195	1.201074	1.200000	379.949037	0.172830	225.000000	0.000000
2.987538	1.201207	1.200000	434.294313	0.205686	226.000000	0.000000
3.157872	1.194989	1.200000	523.712833	0.213001	227.000000	0.000000
3.392691	1.202665	1.200000	561.499576	0.229989	228.000000	0.000000
3.583214	1.203558	1.200000	626.661866	0.229930	229.000000	0.000000
3.791880	1.233712	1.200000	668.582094	0.232991	230.000000	0.000000
3.919308	1.234417	1.200000	682.494873	0.228082	231.000000	0.000000
4.193056	1.202849	1.200000	790.580689	0.260998	232.000000	0.000000
4.336117	1.234098	1.200000	839.123295	0.259577	233.000000	0.000000
4.583633	1.201878	1.200000	884.855225	0.272126	234.000000	0.000000
4.792738	1.197473	1.200000	880.645396	0.286999	235.000000	0.000000
4.983413	1.201201	1.200000	980.615724	0.301350	236.000000	0.000000
5.193157	1.199599	1.200000	1069.720960	0.301995	237.000000	0.000000
5.393195	1.199950	1.200000	1161.712661	0.315248	238.000000	0.000000
5.542338	1.218177	1.200000	1133.933599	0.315999	239.000000	0.000000
5.792864	1.215272	1.200000	1228.636969	0.328193	240.000000	0.000000
5.991592	1.228764	1.200000	1351.128422	0.326992	241.000000	0.000000
6.192465	1.249755	1.200000	1381.968020	0.343062	242.000000	0.000000
6.373365	1.206744	1.200000	1434.734629	0.357505	243.000000	0.000000
6.592146	1.216635	1.200000	1561.968512	0.361937	244.000000	0.000000
6.741085	1.197037	1.200000	1619.291505	0.373996	245.000000	0.000000
6.993416	1.246003	1.200000	1632.624525	0.372581	246.000000	0.000000
-0.000058	1.382063	1.400000	125.799118	0.218008	247.000000	0.000000
0.193230	1.356630	1.400000	125.457999	0.189000	248.000000	0.000000
0.389894	1.379281	1.400000	136.048856	0.173126	249.000000	0.000000
0.592726	1.382994	1.400000	149.765084	0.173000	250.000000	0.000000
0.740330	1.368982	1.400000	147.175972	0.143001	251.000000	0.000000
0.991999	1.363958	1.400000	134.696892	0.129198	252.000000	0.000000
1.191627	1.360624	1.400000	129.691742	0.115031	253.000000	0.000000
1.592295	1.402289	1.400000	160.963867	0.112997	254.000000	0.000000
1.790932	1.405748	1.400000	199.992691	0.130010	255.000000	0.000000
1.991846	1.419659	1.400000	246.211029	0.115007	256.000000	0.000000
2.187990	1.411199	1.400000	288.841187	0.143111	257.000000	0.000000
2.392607	1.403173	1.400000	336.774843	0.157001	258.000000	0.000000
2.534546	1.404423	1.400000	351.963380	0.160725	259.000000	0.000000
2.792272	1.398672	1.400000	442.723450	0.171729	260.000000	0.000000
2.991750	1.406367	1.400000	423.631471	0.185991	261.000000	0.000000
3.190709	1.447900	1.400000	500.311832	0.186041	262.000000	0.000000
3.392123	1.393771	1.400000	556.729005	0.213003	263.000000	0.000000
3.592112	1.400234	1.400000	603.758000	0.215000	264.000000	0.000000
3.791785	1.408332	1.400000	628.467225	0.227000	265.000000	0.000000
3.991350	1.426029	1.400000	653.935918	0.228164	266.000000	0.000000
4.193254	1.400347	1.400000	766.218750	0.241991	267.000000	0.000000
4.392789	1.408319	1.400000	793.255252	0.258444	268.000000	0.000000
4.588145	1.399749	1.400000	856.034424	0.269230	269.000000	0.000000
4.792014	1.418728	1.400000	899.739143	0.274011	270.000000	0.000000
4.962406	1.447447	1.400000	1003.196536	0.285120	271.000000	0.000000
5.125265	1.418997	1.400000	1075.031498	0.290996	272.000000	0.000000
5.392686	1.415518	1.400000	1087.098149	0.300921	273.000000	0.000000
5.573891	1.412558	1.400000	1180.264650	0.315647	274.000000	0.000000
5.792874	1.427799	1.400000	1210.571780	0.315545	275.000000	0.000000
5.989707	1.447934	1.400000	1332.813989	0.318998	276.000000	0.000000
6.122804	1.405953	1.400000	1384.584964	0.343000	277.000000	0.000000
6.393314	1.415262	1.400000	1512.474140	0.339373	278.000000	0.000000
6.580006	1.394762	1.400000	1543.107190	0.373002	279.000000	0.000000
6.785326	1.449121	1.400000	1584.251959	0.358309	280.000000	0.000000
6.993452	1.404053	1.400000	1635.155764	0.382255	281.000000	0.000000
0.002581	1.588655	1.600000	170.745813	0.242715	282.000000	0.000000
0.194367	1.584772	1.600000	174.973123	0.228888	283.000000	0.000000
0.393061	1.567336	1.600000	160.402021	0.189002	284.000000	0.000000
0.591094	1.591723	1.600000	200.989339	0.198276	285.000000	0.000000
0.785415	1.581962	1.600000	194.188221	0.173007	286.000000	0.000000
0.991271	1.564543	1.600000	164.033959	0.147009	287.000000	0.000000
1.191670	1.584184	1.600000	176.680878	0.127001	288.000000	0.000000
1.391776	1.583721	1.600000	173.973725	0.114547	289.000000	0.000000
1.791922	1.602696	1.600000	207.903000	0.112090	290.000000	0.000000
1.990909	1.605784	1.600000	222.342621	0.114438	291.000000	0.000000
2.190217	1.599943	1.600000	266.574403	0.127665	292.000000	0.000000
2.364417	1.622657	1.600000	288.949921	0.142006	293.000000	0.000000
2.590858	1.595182	1.600000	358.846894	0.158999	294.000000	0.000000
2.792295	1.615070	1.600000	390.340211	0.168998	295.000000	0.000000
2.991947	1.639775	1.600000	413.238037	0.171024	296.000000	0.000000
3.192629	1.604945	1.600000	504.269719	0.187567	297.000000	0.000000
3.308849	1.604970	1.600000	519.066345	0.202522	298.000000	0.000000
3.591966	1.619188	1.600000	598.137637	0.199940	299.000000	0.000000
3.754021	1.621412	1.600000	611.890931	0.212938	300.000000	0.000000
3.992886	1.607304	1.600000	673.200684	0.227070	301.000000	0.000000
4.104084	1.645086	1.600000	771.876101	0.231942	302.000000	0.000000
4.309685	1.641248	1.600000	790.281373	0.230988	303.000000	0.000000
4.591812	1.639449	1.600000	802.426028	0.256589	304.000000	0.000000
4.746344	1.640581	1.600000	954.701295	0.260254	305.000000	0.000000
4.975189	1.638324	1.600000	967.726088	0.268934	306.000000	0.000000
5.193583	1.631154	1.600000	979.964600	0.274295	307.000000	0.000000
5.393657	1.600804	1.600000	1114.821784	0.300262	308.000000	0.000000
5.593005	1.649232	1.600000	1181.009282	0.301001	309.000000	0.000000
5.791807	1.620114	1.600000	1174.939209	0.303010	310.000000	0.000000
5.993522	1.605760	1.600000	1249.342530	0.331655	311.000000	0.000000
6.192259	1.613437	1.600000	1369.487808	0.328106	312.000000	0.000000
6.393147	1.608693	1.600000	1475.471200	0.326054	313.000000	0.000000
6.578893	1.644775	1.600000	1533.736101	0.332666	314.000000	0.000000
6.736154	1.638031	1.600000	1538.310804	0.329001	315.000000	0.000000
6.992508	1.610184	1.600000	1619.962403	0.358087	316.000000	0.000000
0.000244	1.784353	1.800000	201.946995	0.260001	317.000000	0.000000
0.120042	1.784453	1.800000	214.993901	0.245073	318.000000	0.000000
0.392561	1.767909	1.800000	211.466555	0.215997	319.000000	0.000000
0.583348	1.759660	1.800000	214.333257	0.201011	320.000000	0.000000
0.789008	1.751681	1.800000	191.517899	0.173055	321.000000	0.000000
0.990062	1.785144	1.800000	233.473877	0.174001	322.000000	0.000000
1.183260	1.784759	1.800000	230.763138	0.158900	323.000000	0.000000
1.383905	1.774282	1.800000	203.759507	0.132004	324.000000	0.000000
1.591849	1.783209	1.800000	198.896241	0.114200	325.000000	0.000000
1.990800	1.794199	1.800000	258.836762	0.116999	326.000000	0.000000
2.190236	1.805638	1.800000	215.364564	0.114765	327.000000	0.000000
2.345764	1.794470	1.800000	321.777985	0.143914	328.000000	0.000000
2.591954	1.807443	1.800000	309.501435	0.144570	329.000000	0.000000
